Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ващенко,Леонід,Васильович,Чоловіча,14-11-1989,Кінолог,село Козятин,"узвіз Проектуєма, буд. 588, Пустомити, 99953",+380 (96) 417-28-14,lpalii@example.net
Скоробогатько,Павло,Антонович,Чоловіча,19-09-1948,Доцент,село Федорівка,"вулиця Зарічна, буд. 165 кв. 054, Арциз, 36006",+380 27 842-08-80,bohdan20@example.org
Андрієнко,Орина,Георгіївна,Жіноча,29-10-1946,Детектив,село Яворів,"провулок Уральська, буд. 2, Жмеринка, 90032",003 835-42-38,banderaorest@example.com
Павличенко,Амалія,Борисівна,Жіноча,06-06-1982,М'ясник,село Славута,"провулок Балківська, буд. 049 кв. 100, Берестечко, 37610",+380 04 118 27 47,tytarenkoklavdiia@example.net
Батуринець,Емілія,Матвіївна,Жіноча,13-10-1954,Євнух,селище Горохів,"узвіз Яблучна, буд. 1, Бережани, 53490",+380 (26) 296-78-14,kharchenkoliza@example.org
Атаманюк,Ярина,Веніамінівна,Жіноча,31-05-1976,Адвокат,місто Ровеньки,"провулок Буковинська, буд. 2, Христинівка, 03901",+380 27 400-74-27,mivanenko@example.org
Мамчур,Демʼян,Матвійович,Чоловіча,28-07-2006,Електрик,село Славута,"парк Амбулаторний 2-й, буд. 178, Керч, 09281",004 987-22-97,illia10@example.com
Джунь,Омелян,Юрійович,Чоловіча,11-08-1998,Зоолог,селище Каховка,"набережна Госпітальєрів, буд. 58 кв. 4, Лисичанськ, 96132",074 152-20-63,leonidonishchuk@example.net
Фоменко,Амалія,Денисівна,Жіноча,18-11-1997,Сантехнік,село Сквира,"проспект Аркаса Миколи, буд. 85, Вишгород, 51370",004 203 98 35,mzhuchenko@example.net
Левченко,Петро,Святославович,Чоловіча,19-07-1964,Кінорежисер,село Добропілля,"набережна Павла Зеленого, буд. 047, Стебник, 31816",+380 93 541-83-52,bazavluchenkosolomon@example.com
Христенко,Соломія,Віталіївна,Жіноча,12-11-1945,Економіст,село Мена,"провулок Миколаївський 1-й, буд. 61, Верхівцеве, 36187",+380 84 260 21 96,viacheslav87@example.org
Рябовіл,Богданна,Омелянівна,Жіноча,06-08-2007,Гінеколог,селище Гребінка,"набережна Верстатобудівна, буд. 85, Андрушівка, 34425",+380 83 996-87-68,danylo23@example.org
Бабак,Ірена,Тарасівна,Жіноча,31-05-1997,Локсмайстер,селище Немирів,"набережна Бориса Дерев'янка, буд. 1, Ямпіль, 57231",398-26-25,liza26@example.org
Бараник,Франц,Віталійович,Чоловіча,10-05-1978,Петрограф,село Татарбунари,"провулок Леоніда Осики, буд. 67, Сніжне, 04748",084 055-10-14,mykhailynabalaban@example.org
Черненко,Еріка,Артемівна,Жіноча,02-11-1951,Модель,село Мерефа,"узвіз 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 60, Слов'янськ, 84170",+380 83 189 57 51,albinakorzh@example.net
Титаренко,Артем,Станіславович,Чоловіча,26-09-1977,Вчитель,село Біляївка,"проспект Волтона, буд. 951, Арциз, 27075",+380 43 952-75-28,pavlo65@example.com
Червоненко,Демид,Васильович,Чоловіча,07-02-1958,Доцент,хутір Знам'янка,"парк 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 480, Кропивницький, 52090",+380 47 242-04-29,opanaszatula@example.org
Засуха,Богуслава,Геннадіївна,Жіноча,02-07-1999,Математик,місто Жданівка,"парк Восьмого березня 6-й, буд. 8, Дунаївці, 31473",+380 44 528 83 00,korbutpavlo@example.org
Засуха,Наталія,Василівна,Жіноча,07-05-1967,Музикознавець,місто Ржищів,"парк Кременецький, буд. 9, П'ятихатки, 38071",352 46 55,overnydub@example.com
Бабак,Дарина,Сергіївна,Жіноча,16-12-1985,Модель,місто Дубровиця,"площа П'ята, буд. 3, Славута, 15742",894-41-33,petro30@example.com
Гаврилів,Гаврило,Георгійович,Чоловіча,12-04-1961,Електрослюсар,місто Мостиська,"набережна Садова 2-га, буд. 36, Радехів, 15444",368-01-69,gakymenko@example.net
Кабаненко,Ярослав,Костянтинович,Чоловіча,03-02-1945,Музичний редактор,хутір Кам'янка (Черкаська область),"набережна Деревообробний 2-й, буд. 835, Рожище, 30764",+380 45 739-92-66,artiukhviktoriia@example.com
Верменич,Данило,Рустамович,Чоловіча,27-04-1973,Пілот,село Армянськ,"парк Ромський, буд. 19 кв. 7, Дрогобич, 71632",+380 39 769-39-73,aiaremchuk@example.net
Макаренко,Тереза,Юріївна,Жіноча,27-10-1955,Хореограф,село Бердянськ,"провулок Шилова, буд. 11, Боярка, 99543",+380 84 688 94 06,ieromenkovitalii@example.com
Шиян,Емілія,Олегівна,Жіноча,04-03-1986,Адвокат,селище Краматорськ,"сквер Поштовий, буд. 402, Кобеляки, 77189",+380 25 927-37-55,ygoliash@example.net
Петренко,Валентина,Ярославівна,Жіноча,12-07-1961,Детектив,село Угнів,"узвіз Пляжна, буд. 2, Чуднів, 17812",+380 10 775-77-83,dbazavluchenko@example.org
Гаврилишин,Степан,Дмитрович,Чоловіча,31-05-1941,Мірошник,селище Ходорів,"шосе Водопровідна, буд. 17 кв. 1, Буча, 91654",+380 47 291-57-78,hordii66@example.net
Дейсун,Симон,Ярославович,Чоловіча,11-08-1983,Мірошник,хутір Жовква,"площа Середньофонтанський, буд. 53, Бурштин, 40063",349 47 26,leon12@example.net
Яремко,Анастасія,Станіславівна,Жіноча,17-10-1960,Режисер,селище Біляївка,"проспект Івана Луценка, буд. 82 кв. 11, Бершадь, 15075",+380 22 622-36-99,valentyn54@example.org
Яценюк,Орхип,Богданович,Чоловіча,25-07-1967,Економіст,село Винники,"площа Ромашкова, буд. 03, Герца, 57699",+380 24 279 64 98,rmazur@example.com
Твердохліб,Панас,Маркелович,Чоловіча,30-03-1950,Сценарист,село Городок,"провулок Володимира Терещенка, буд. 55, Антрацит, 92442",021 140-85-26,ovlasiuk@example.com
Ткаченко,Валентина,Сергіївна,Жіноча,07-08-1961,Музичний редактор,місто Білицьке,"парк Середньофонтанський, буд. 5 кв. 7, Кіцмань, 54861",+380 97 738 98 10,romanchukvira@example.org
Аврамчук,Еріка,Федорівна,Жіноча,07-09-1995,Круп'є,хутір Вознесенівка,"проспект Садова 3-тя, буд. 01, Бережани, 50790",+380 41 844 41 23,davyd35@example.com
Журба,Лариса,Василівна,Жіноча,04-04-1969,Архітектор,село Глобине,"вулиця Героїв УПА, буд. 174, Сокологірськ, 71327",+380 15 960 01 79,parmenkharchenko@example.com
Тимченко,Розалія,Андріївна,Жіноча,25-08-1954,Біолог,хутір Хрестівка,"парк Листяна, буд. 45, Бердичів, 18122",560 64 10,davyd87@example.net
Яценко,Онисим,Павлович,Чоловіча,01-06-1953,Нотаріус,місто Шостка,"проспект Новиков міст, буд. 39, Златопіль, 28884",527-73-05,valentyna91@example.net
Петлюра,Богуслав,Артемович,Чоловіча,08-05-1977,Державний службовець,хутір Кальміуське,"провулок Артилерійська, буд. 81, Сіверськодонецьк, 34682",+380 56 209-23-94,ikalenychenko@example.com
Цимбалюк,Трохим,Геннадійович,Чоловіча,17-03-1967,Бізнесмен,місто Кобеляки,"проспект Рульовий, буд. 812, Снятин, 25640",174-49-91,adakabanenko@example.com
Стець,Арсен,Костянтинович,Чоловіча,22-09-2001,Художник,місто Ужгород,"сквер Танкістів, буд. 16 кв. 4, Вознесенівка, 97732",+380 51 225 57 21,yvobla@example.net
Чаленко,Андрій,Георгійович,Чоловіча,18-09-1965,Музикант,селище Бахмач,"проспект Пересипська 9-та, буд. 5 кв. 4, Виноградів, 60228",+380 36 341 89 91,khorishkoada@example.com
Адаменко,Оксана,Єфремівна,Жіноча,10-10-1960,Історик,місто Отаманівка,"проспект Європейська, буд. 52, Горохів, 20674",+380 72 192 66 86,fmalyk@example.net
Карпа,Лілія,Олександрівна,Жіноча,10-11-1949,Кінолог,селище Кам'янка-Бузька,"проспект Селекційний, буд. 78 кв. 335, Бориспіль, 92934",+380 22 048 35 26,huzenkoroman@example.com
Примаченко,Семен,Степанович,Чоловіча,29-06-2000,Акушер,хутір Березне,"парк Зелена гірка, буд. 394 кв. 98, Жовква, 86737",002 526-23-28,kamillamykhailiuk@example.com
Опанасенко,Святослава,Іллівна,Жіноча,09-04-1963,Швачка,селище Підгайці,"вулиця Сталепрокатна, буд. 2 кв. 03, Перечин, 44765",+380 50 207-70-60,bohdanna01@example.net
Арсенич,Едита,Єгорівна,Жіноча,14-07-2000,Будник,село Жданівка,"узвіз Кам’янецький, буд. 34, Кам'янка (Черкаська область), 74641",+380 (43) 306-91-02,mariia37@example.net
Щербак,Давид,Андрійович,Чоловіча,22-05-1956,Астроном,хутір Добромиль,"сквер Олександра Блока, буд. 3 кв. 709, Шептицький, 37925",+380 20 038 88 95,aaronshcherbak@example.org
Деревʼянко,Феофан,Борисович,Чоловіча,16-11-2000,Астронавт,село Бучач,"парк Косий, буд. 25, Миколаївка, 01182",+380 29 685 34 70,drozdenkoanzhela@example.com
Єсипенко,Данило,Романович,Чоловіча,19-12-1989,Ветеринар,хутір Славутич,"шосе Покровський, буд. 288, Кодима, 71914",073 171-38-41,okseniiachaika@example.com
Медведенко,Володимир,Назарович,Чоловіча,04-07-1984,Історик,хутір Бібрка,"вулиця Дністровська, буд. 67 кв. 3, Хоростків, 54628",000 448-37-11,zkhomyk@example.com
Ґереґа,Демʼян,Федорович,Чоловіча,01-03-1939,Підприємець,село Бережани,"парк Західний 2-й, буд. 23 кв. 53, Бурштин, 80259",+380 08 413 97 03,teodorartym@example.org
Онищенко,Надія,Святославівна,Жіноча,16-03-1965,Складальник,місто Валки,"сквер Остапа Вишні, буд. 692, Балта, 76316",+380 (60) 206-56-86,rozaliiachmil@example.net
Худобʼяк,Камілла,Іванівна,Жіноча,28-01-1985,Біолог,село Березань,"провулок Басейний 3-й, буд. 892 кв. 65, Багачеве, 63110",+380 72 041 75 15,daryna00@example.net
Запорожець,Станіслав,Андрійович,Чоловіча,30-07-1976,Фізик,село Дубровиця,"проспект Лінія 53-тя, буд. 450 кв. 2, Іловайськ, 85508",500 82 80,cmoskal@example.org
Джус,Єва,Денисівна,Жіноча,28-09-2006,Продюсер,село Волноваха,"провулок Джинестрівська, буд. 47 кв. 7, Тисмениця, 22159",052 749 18 00,andrusenkoandrii@example.com
Забіла,Ірена,Володимирівна,Жіноча,11-10-1995,Промисловець,село Гадяч,"парк Караїмська, буд. 2 кв. 6, Великі Мости, 24103",+380 46 567 96 70,nalyvaikotaras@example.org
Ященко,Роман,Костянтинович,Чоловіча,31-12-1946,Конструктор,місто Запоріжжя,"провулок Південна дорога, буд. 43 кв. 1, Зугрес, 45934",015 677-38-56,skopenkoviktor@example.org
Ярема,Єлисей,Дмитрович,Чоловіча,08-08-2001,Графік,селище Черкаси,"проспект Фахова, буд. 884 кв. 5, Перещепине, 72086",+380 (65) 493-16-98,xieresko@example.com
Теліженко,Вадим,Михайлович,Чоловіча,08-01-1990,Музикознавець,місто Вилкове,"вулиця Житомирський 3-й, буд. 42 кв. 6, Заставна, 65293",073 095 43 71,alevtyn01@example.net
Івасюк,Ростислав,Віталійович,Чоловіча,13-08-1959,Ювелір,селище Гребінка,"узвіз Зелена балка, буд. 018, Підгайці, 68557",+380 89 664-16-14,dannatalan@example.net
Черінько,Віра,Маркелівна,Жіноча,02-08-1987,Археолог,місто Хмельницький,"парк Аркадійська, буд. 6 кв. 95, Маріуполь, 12694",965-70-27,artem10@example.net
Гузь,Валерій,Святославович,Чоловіча,02-07-1970,Гірничий інженер,місто Дрогобич,"провулок Нерубайська, буд. 8, Прилуки, 12899",144-85-42,priskasyrotenko@example.net
Єфименко,Микита,Ігоревич,Чоловіча,26-03-1953,Геофізик,хутір Болград,"узвіз Задніпровського, буд. 830, Саки, 46922",+380 19 176 35 58,ovsiienkoiaryna@example.net
Приймак,Сергій,Омелянович,Чоловіча,08-05-1997,Кінорежисер,місто Володимир-Волинський,"проспект Малинова, буд. 57, Прилуки, 47421",230 65 31,babychavhustyn@example.com
Рак,Маруся,Святославівна,Жіноча,19-11-2003,Кінорежисер,місто Вашківці,"площа Петра Лещенка, буд. 017 кв. 0, Хутір-Михайлівський, 99662",+380 06 827-82-73,pryimakmyron@example.org
Козаченко,Августин,Петрович,Чоловіча,27-06-1963,Маркетолог,селище Чигирин,"проспект 1-ша Лінія Марії Демченко, буд. 851 кв. 79, Кілія, 64311",013 814 06 94,amasokha@example.org
Асаула,Еріка,Аркадіївна,Жіноча,12-12-1938,Філолог,хутір Ніжин,"парк Гонсіоровського, буд. 32, Кіцмань, 18168",080 564-57-42,prokhirtarasenko@example.net
Охримович,Святослава,Валентинівна,Жіноча,09-10-2004,Музикант,селище Добропілля,"шосе Ярмарковий, буд. 533, Тячів, 35292",+380 65 200 05 22,vashchenkoivan@example.com
Деревʼянко,Пріска,Рустамівна,Жіноча,26-02-1975,Ріелтор,селище Бобровиця,"парк Давида Ойстраха, буд. 2 кв. 48, Сорокине, 79352",399-30-51,khrystyna25@example.com
Щорс,Марина,Василівна,Жіноча,08-04-1999,Хореограф,село Корець,"набережна Курортний 6-й, буд. 47, Рава-Руська, 87784",479-93-48,arkhymovychmarusia@example.com
Христич,Тимофій,Олегович,Чоловіча,06-02-1959,Електрослюсар,село Теребовля,"шосе Обільний 2-й, буд. 955, Щастя, 68351",+380 09 076-03-55,valentynakabaliuk@example.org
Онуфрієнко,Роксолана,Маркелівна,Жіноча,25-02-1939,Музичний редактор,місто Знам'янка,"вулиця Ждахи, буд. 5 кв. 445, Сімферополь, 83871",+380 (50) 424-68-29,mykhailiuksemen@example.com
Вдовиченко,Марʼяна,Ярославівна,Жіноча,24-04-1948,Програміст,селище Тальне,"сквер Шовкуненка, буд. 005, Заставна, 99870",026 482-87-52,eduard76@example.com
Андрейко,Захар,Геннадійович,Чоловіча,02-01-2002,Диригент,село Радомишль,"площа Обільний 1-й, буд. 96, Сміла, 37949",007 187 33 59,tkachfeofan@example.net
Євдокименко,Пантелеймон,Станіславович,Чоловіча,17-06-1989,Математик,хутір Балаклія,"шосе Горизонтальна, буд. 6 кв. 61, Золотоноша, 02930",+380 15 080 75 36,pilienko@example.com
Акуленко,Дарина,Богданівна,Жіноча,02-08-1973,Електромонтер,селище Носівка,"проспект Сосюри, буд. 6, Лиман, 64185",+380 41 126 19 06,derkachpetro@example.net
Іваненко,Нестор,Ярославович,Чоловіча,07-02-1975,Кушнір,село Вилкове,"шосе Італійський, буд. 696, П'ятихатки, 01309",+380 (30) 479-57-19,zakharenkomartyn@example.org
Гаврилишин,Алла,Василівна,Жіноча,06-10-1986,Правник,хутір Горохів,"вулиця Павла Зеленого, буд. 608 кв. 8, Путивль, 52165",926-72-96,mariana13@example.com
Ємець,Пантелеймон,Олександрович,Чоловіча,21-11-1972,Зоолог,місто Сміла,"провулок Архітектурна, буд. 8 кв. 3, Підгородне, 31292",+380 (01) 976-85-57,hordii30@example.net
Бабій,Єлисавета,Віталіївна,Жіноча,25-08-1978,Модель,місто Новодружеськ,"шосе Аркаса Миколи, буд. 44, Севастополь, 09797",+380 32 834 47 55,vbazylevskyi@example.net
Гречаник,Азар,Степанович,Чоловіча,09-10-1946,Локсмайстер,село Борзна,"вулиця Ботанічний, буд. 08, Київ, 22981",384-00-78,volodymyrahaievskyi@example.com
Єрьоменко,Охрім,Максимович,Чоловіча,24-10-1953,Співак,селище Рожище,"шосе Вінницька, буд. 081 кв. 639, Ровеньки, 55691",857-70-71,ihnat03@example.com
Фартушняк,Едуард,Костянтинович,Чоловіча,22-11-1992,Будник,селище Самар,"провулок Артезіанська, буд. 820 кв. 6, Снятин, 21744",+380 (83) 113-42-06,tkolodub@example.net
Деревʼянко,Миколай,Віталійович,Чоловіча,13-02-1978,Ріелтор,селище Скадовськ,"парк Книжковий, буд. 522 кв. 15, Гола Пристань, 66019",+380 82 753-41-59,oryna46@example.com
Самойленко,Ігнат,Аркадійович,Чоловіча,01-10-1964,Золотар,місто Любомль,"шосе Артура Савельєва, буд. 378 кв. 7, Феодосія, 70389",049 216-44-93,rozaliia05@example.net
Сірченко,Світлана,Костянтинівна,Жіноча,08-01-1956,Співак,селище Чоп,"набережна Вільгельма Габсбурга, буд. 09, Славута, 01830",336 19 77,lupiiarkadii@example.org
Яременко,Богданна,Олександрівна,Жіноча,26-06-1961,Геофізик,місто Сквира,"парк Ланжеронівська, буд. 3 кв. 585, Мар'їнка, 22640",+380 23 649-56-30,eduard37@example.org
Ватаманюк,Віктор,Денисович,Чоловіча,05-01-1974,Хореограф,хутір Корюківка,"шосе Дмитріївська, буд. 2, Дунаївці, 51281",+380 81 463-11-75,nvlasiuk@example.com
Яременко,Адам,Омелянович,Чоловіча,02-03-1955,Вчитель,місто Хрустальний,"парк Промисловий, буд. 6 кв. 61, Кіцмань, 97739",223 99 95,odarka63@example.net
Шелест,Дан,Васильович,Чоловіча,19-07-2002,Геофізик,місто Ізяслав,"узвіз Східчастий, буд. 252 кв. 409, Алупка, 49931",+380 07 900-85-70,qlaba@example.com
Франчук,Єлисей,Єфремович,Чоловіча,17-04-1954,Науковець,село Старий Крим,"узвіз Павла Чубинського, буд. 5 кв. 2, Калинівка, 81370",819 62 63,xakymenko@example.com
Товстоліс,Ростислав,Станіславович,Чоловіча,13-12-1960,Льотчик,село Городище,"парк Героїв оборони Одеси, буд. 99, Новоукраїнка, 02080",+380 85 236 94 01,ievaizhak@example.com
Тригуб,Валентин,Максимович,Чоловіча,26-01-1940,Електромонтер,село Винники,"шосе Сумський, буд. 149, Білопілля, 85502",537 51 65,wiashchenko@example.org
Ільченко,Леонтій,Федорович,Чоловіча,02-02-2008,Художник,селище Винники,"парк Миколи Вороного, буд. 15, Гнівань, 80642",085 158 18 09,iosypverkhola@example.org
Карпенко,Орест,Юрійович,Чоловіча,03-09-1960,Ветеринар,село Шумськ,"узвіз Хаджибейський 1-й, буд. 67, Каховка, 89275",+380 60 293-92-68,mykhailyna43@example.net
Гриценко,Марʼяна,Лук’янівна,Жіноча,02-05-1955,Юрист,село Баштанка,"проспект Лиманчик 2-й Лінія 9-та, буд. 736, Чистякове, 75057",335-69-59,cherinkoanita@example.com
Баклан,Соломія,Олександрівна,Жіноча,07-09-1997,Пілот,селище Судак,"вулиця Ніли Крюкової, буд. 513 кв. 56, Снятин, 43119",+380 57 831-63-16,kostiantynivasiuk@example.net
Гоголь-Яновська,Василь,Тимофійович,Чоловіча,06-08-1939,Адвокат,хутір Шаргород,"сквер Педагогічний, буд. 1 кв. 87, Вознесенськ, 54326",093 368-10-15,hannashchyrytsia@example.com
Данченко,Оксенія,Леонідівна,Жіноча,20-05-1976,Водій,село Лубни,"площа Цимлянська, буд. 03 кв. 15, Краматорськ, 63111",+380 94 795-29-63,arkadiidubenko@example.org
Єресько,Теодор,Ілліч,Чоловіча,07-07-1954,Няня,село Горохів,"шосе Нафтовиків, буд. 3, Чернігів, 46007",734 33 87,prokhirudovychenko@example.org
Черінько,Іван,Михайлович,Чоловіча,05-03-2007,Режисер,місто Привілля,"площа Яблунева, буд. 77, Тиврів, 56153",061 859-25-87,svitlanachekaliuk@example.net
Філіпенко,Алла,Федорівна,Жіноча,30-07-1992,Різноробочий,селище Заводське,"провулок Деревообробний 2-й, буд. 89 кв. 86, Помічна, 14911",+380 64 462-03-05,biarema@example.com
Павленко,Софія,Арсенівна,Жіноча,26-11-1959,Секретар,хутір Феодосія,"набережна Астрономічна, буд. 30 кв. 905, Авдіївка, 72320",+380 10 025-83-74,fareniuksnizhana@example.org
Микитюк,Ольга,Валентинівна,Жіноча,09-06-2000,Конструктор,селище Світлодарськ,"площа Лінія 51-ша, буд. 3, Заводське, 54380",788 11 11,priska19@example.org
Зінчук,Вікторія,Борисівна,Жіноча,12-01-2006,Штукатур,місто Кам'янка-Дніпровська,"сквер Віри Інбер, буд. 6, Олевськ, 55831",+380 10 404 30 97,kolodubmariana@example.com
Чабан,Ярослава,Костянтинівна,Жіноча,07-12-1959,Адвокат,місто Березань,"парк Аптекарський, буд. 6 кв. 1, Борщів, 22183",+380 (52) 856-77-62,stefanokhrymovych@example.org
Адамчук,Юхим,Тарасович,Чоловіча,28-01-1968,Палеонтолог,селище Кам'янець-Подільський,"шосе Академіка Ясиновського, буд. 3 кв. 635, Перещепине, 35256",173-07-50,violetta98@example.net
Рябченко,Аліна,Романівна,Жіноча,17-04-1976,Кушнір,село Рава-Руська,"площа Фабрична, буд. 459, Богуслав, 33153",+380 88 011 82 76,wderkach@example.com
Рудик,Марʼяна,Дмитрівна,Жіноча,10-12-1945,Випробувач,хутір Заводське,"провулок Йоганна Ансельма, буд. 42, Перевальськ, 60764",+380 72 466-66-25,hshamrai@example.com
Скопенко,Віталій,Арсенович,Чоловіча,05-12-1970,Випробувач,хутір Охтирка,"провулок Гонтаренко, буд. 34, Іршава, 89074",064 266 70 71,zshtepa@example.net
Зайченко,Марина,Олександрівна,Жіноча,15-07-1950,Електромонтажник,селище Костопіль,"сквер Рибальська балка, буд. 02 кв. 3, Ананьїв, 34482",725 96 65,milenaiaremko@example.net
Слюсар,Аарон,Романович,Чоловіча,25-01-1987,Редактор,селище Сіверськодонецьк,"узвіз Лінія 51-ша, буд. 05 кв. 5, Мерефа, 28923",+380 75 367 78 40,anton05@example.com
Барабаш,Євген,Віталійович,Чоловіча,25-07-1996,Намотувальник,місто Бердянськ,"сквер 9-та Лінія Дачі Ковалевського, буд. 6 кв. 48, Горішні Плавні, 07800",495-98-84,zvlasiuk@example.net
Міщенко,Людмила,Захарівна,Жіноча,03-06-1944,Електротехнік,хутір Комарно,"проспект Сергія Шелухина, буд. 07, Могилів-Подільський, 34401",182-15-03,tymchukdavyd@example.net
Балабан,Ірина,Омелянівна,Жіноча,27-10-1979,Бібліограф,селище Довжанськ,"узвіз Миколи Вороного, буд. 61 кв. 53, Березівка, 06511",045 28 99,okhrim91@example.org
Годунок,Олекса,Петрович,Чоловіча,27-10-1971,Єгер,селище Нікополь,"шосе Овідіопольська, буд. 95 кв. 2, Докучаєвськ, 42634",+380 47 927-07-22,xkharchenko@example.org
Жайворон,Василина,Геннадіївна,Жіноча,22-04-1944,Пекар,місто Дубно,"площа Контрадмірала Остроградського, буд. 98, Ржищів, 73302",551 59 26,huzvolodymyra@example.com
Базилевич,Данна,Геннадіївна,Жіноча,09-06-2007,Кінокритик,селище Перечин,"узвіз Йосипа Фішера, буд. 577, Сновськ, 40496",739-57-83,leon27@example.net
Мірошниченко,Алла,Дмитрівна,Жіноча,14-08-1940,Дантист,село Рудки,"парк Морехідний, буд. 560 кв. 88, Новоград-Волинський, 06965",+380 27 313 24 50,bohodarvasylenko@example.org
Коваленко,Леонід,Георгійович,Чоловіча,08-04-2005,Професор,місто Бердичів,"вулиця Василя Кандинського 3-й, буд. 8, Ізмаїл, 50824",022 370-20-38,eiakymenko@example.net
Вертипорох,Ярослава,Матвіївна,Жіноча,28-11-1999,Льотчик,місто Молочанськ,"набережна Лазурського, буд. 8, Деражня, 80371",+380 (86) 468-19-56,etsushko@example.com
Чубай,Стефан,Маркелович,Чоловіча,09-06-1958,Мінералог,хутір Виноградів,"узвіз Каштанова, буд. 0, Тернівка, 76246",+380 81 345 78 30,wcharnysh@example.net
Верхола,Опанас,Володимирович,Чоловіча,06-11-2005,Випробувач,селище Любомль,"шосе Сосюри, буд. 66 кв. 881, Боково-Хрустальне, 39765",025 214-51-71,frantsudovychenko@example.net
Петренко,Болеслав,Геннадійович,Чоловіча,08-03-1948,Єгер,село Збараж,"шосе Уральський, буд. 6 кв. 971, Чернігів, 94842",020 918-53-46,solomon44@example.com
Джус,Ліза,Максимівна,Жіноча,31-07-1971,Правник,хутір Берегове,"вулиця Рози вітрів, буд. 246 кв. 00, Теребовля, 43912",040 642 00 31,oryna51@example.com
Масоха,Стефан,Григорович,Чоловіча,18-02-1973,Геолог,хутір Суми,"вулиця Барвінковий, буд. 920 кв. 1, Новий Розділ, 04853",530 31 23,ivashchenkomaksym@example.net
Примаченко,Венедикт,Олександрович,Чоловіча,15-01-1941,Патологоанатом,хутір Лиман,"узвіз Архітектурна, буд. 3, Покровськ, 18841",050 747 03 03,semen96@example.com
Дергач,Григорій,Степанович,Чоловіча,03-10-1969,Громадський діяч,хутір Дніпрорудне,"провулок Ювілейний 2-й, буд. 11, Кагарлик, 24082",070-66-71,vumanets@example.org
Дубина,Аніта,Денисівна,Жіноча,26-02-1999,Маркетолог,хутір Ніжин,"узвіз Ракетна, буд. 128 кв. 51, Часів Яр, 15219",641-44-66,makymenko@example.org
Жук,Єва,Тарасівна,Жіноча,17-05-1956,Петрограф,місто Феодосія,"набережна Різовська, буд. 281, Мена, 44994",+380 00 482-66-02,roksolana54@example.com
Захарченко,Тарас,Романович,Чоловіча,08-08-2000,Ґрунтознавець,село Перечин,"узвіз Йосипа Тимченка, буд. 65 кв. 963, Гайворон, 97704",007 79 53,phaidamaka@example.org
Василашко,Ірена,Артемівна,Жіноча,15-01-1988,Електрослюсар,хутір Миргород,"парк Іони Отаманського, буд. 78, Семенівка, 22701",+380 37 990-77-14,jmakohon@example.com
Сацюк,Вікторія,Ярославівна,Жіноча,18-08-1960,Ветеринар,хутір Кропивницький,"вулиця Китобійний 2-й, буд. 3 кв. 667, Тростянець, 15423",060 818-81-28,mykhailychenkoirena@example.org
Баштан,Михайлина,Ігорівна,Жіноча,17-04-2007,Різноробочий,селище Таврійськ,"парк Морський 2-й, буд. 016 кв. 20, Новий Розділ, 75774",+380 85 064-63-20,radchenkoruslan@example.org
Гаврилів,Азар,Романович,Чоловіча,24-09-1965,Фізик,селище Галич,"провулок Астрономічна, буд. 676 кв. 4, Донецьк, 44371",+380 (99) 040-50-66,hanna17@example.com
Давимука,Оксана,Лук’янівна,Жіноча,05-04-1979,Електромонтажник,хутір Перещепине,"провулок Пересипська 6-та, буд. 299 кв. 77, Сватове, 14530",+380 (03) 207-56-37,dotsenkoroman@example.com
Алексюк,Онисим,Віталійович,Чоловіча,10-11-1939,Професор,селище Збараж,"шосе Оранжерейний, буд. 911 кв. 6, Яворів, 27500",+380 98 389 50 51,iustyna43@example.net
Остапчук,Левко,Павлович,Чоловіча,11-07-1957,Кухар,місто Ромни,"парк Текстильників, буд. 649, Надвірна, 06920",+380 13 596 94 52,oderhach@example.net
Михайлюк,Алла,Василівна,Жіноча,22-08-1956,Дерун,місто Глухів,"парк Панченка, буд. 3, Зміїв, 07099",079 851 70 45,edyta42@example.org
Бевз,Златослава,Віталіївна,Жіноча,15-10-1972,Географ,хутір Рені,"вулиця 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 819 кв. 8, Амвросіївка, 84084",075 085 91 89,zasenkotaras@example.org
Чумак,Камілла,Сергіївна,Жіноча,19-10-1977,Медик,місто Біла Церква,"набережна Флотський 4-й, буд. 860, Дубно, 70576",083 046 96 38,onufriienkotaras@example.com
Сацюк,Алла,Назарівна,Жіноча,16-07-1983,Мистецтвознавець,селище Пирятин,"сквер 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 7, Авдіївка, 49652",517 67 14,hrechkooksana@example.org
Дейсун,Лариса,Олексіївна,Жіноча,09-04-1999,Дипломат,селище Могилів-Подільський,"проспект Амундсена, 1-й, буд. 934 кв. 5, Рубіжне, 75062",+380 76 469 35 10,sviatoslavashynkarenko@example.com
Фурс,Марія,Тарасівна,Жіноча,03-05-2000,Журналіст,місто Вишгород,"провулок Мирна, буд. 3, Нова Каховка, 12961",034 966-61-80,cadamchuk@example.com
Девдюк,Михайлина,Юріївна,Жіноча,13-02-1961,Фотограф,хутір Здолбунів,"провулок Бейтельсбахера, буд. 581 кв. 56, Носівка, 38462",+380 23 750-82-24,lchubai@example.org
